park_code,year,month,recreation_visits,temp_c,precip_mm_day,park_name,state,latitude,longitude,date
ARCH,2005,1,9894,0.99,2.08,Arches,UT,38.7331,-109.5925,2005-01-01
ARCH,2005,2,16168,1.58,1.14,Arches,UT,38.7331,-109.5925,2005-02-01
ARCH,2005,3,62843,3.69,1.25,Arches,UT,38.7331,-109.5925,2005-03-01
ARCH,2005,4,71709,8.72,0.62,Arches,UT,38.7331,-109.5925,2005-04-01
ARCH,2005,5,111718,15.14,0.38,Arches,UT,38.7331,-109.5925,2005-05-01
ARCH,2005,6,110517,19.21,1.05,Arches,UT,38.7331,-109.5925,2005-06-01
ARCH,2005,7,106555,26.69,0.49,Arches,UT,38.7331,-109.5925,2005-07-01
ARCH,2005,8,103403,22.09,1.25,Arches,UT,38.7331,-109.5925,2005-08-01
ARCH,2005,9,88218,18.18,1.67,Arches,UT,38.7331,-109.5925,2005-09-01
ARCH,2005,10,63626,11.01,1.06,Arches,UT,38.7331,-109.5925,2005-10-01
ARCH,2005,11,23813,4.09,0.39,Arches,UT,38.7331,-109.5925,2005-11-01
ARCH,2005,12,13206,-1.37,0.37,Arches,UT,38.7331,-109.5925,2005-12-01
ARCH,2006,1,12841,-0.71,0.54,Arches,UT,38.7331,-109.5925,2006-01-01
ARCH,2006,2,20728,0.64,0.14,Arches,UT,38.7331,-109.5925,2006-02-01
ARCH,2006,3,67550,2.71,1.74,Arches,UT,38.7331,-109.5925,2006-03-01
ARCH,2006,4,84244,9.97,0.41,Arches,UT,38.7331,-109.5925,2006-04-01
ARCH,2006,5,110564,17.39,0.09,Arches,UT,38.7331,-109.5925,2006-05-01
ARCH,2006,6,102061,23.68,0.28,Arches,UT,38.7331,-109.5925,2006-06-01
ARCH,2006,7,101297,25.42,1.56,Arches,UT,38.7331,-109.5925,2006-07-01
ARCH,2006,8,107176,22.69,1.42,Arches,UT,38.7331,-109.5925,2006-08-01
ARCH,2006,9,112335,15.27,2.12,Arches,UT,38.7331,-109.5925,2006-09-01
ARCH,2006,10,72615,8.57,3.84,Arches,UT,38.7331,-109.5925,2006-10-01
ARCH,2006,11,28087,3.53,0.55,Arches,UT,38.7331,-109.5925,2006-11-01
ARCH,2006,12,13551,-1.64,0.43,Arches,UT,38.7331,-109.5925,2006-12-01
ARCH,2007,1,10681,-3.56,0.55,Arches,UT,38.7331,-109.5925,2007-01-01
ARCH,2007,2,15453,0.91,0.89,Arches,UT,38.7331,-109.5925,2007-02-01
ARCH,2007,3,63618,6.22,0.57,Arches,UT,38.7331,-109.5925,2007-03-01
ARCH,2007,4,90031,9.76,1.12,Arches,UT,38.7331,-109.5925,2007-04-01
ARCH,2007,5,111652,15.32,0.73,Arches,UT,38.7331,-109.5925,2007-05-01
ARCH,2007,6,109027,22.39,0.25,Arches,UT,38.7331,-109.5925,2007-06-01
ARCH,2007,7,112167,26.53,1.09,Arches,UT,38.7331,-109.5925,2007-07-01
ARCH,2007,8,106047,24.13,1.64,Arches,UT,38.7331,-109.5925,2007-08-01
ARCH,2007,9,120301,18.47,1.75,Arches,UT,38.7331,-109.5925,2007-09-01
ARCH,2007,10,77963,10.15,0.73,Arches,UT,38.7331,-109.5925,2007-10-01
ARCH,2007,11,30536,5.2,0.54,Arches,UT,38.7331,-109.5925,2007-11-01
ARCH,2007,12,12705,-4.08,2.0,Arches,UT,38.7331,-109.5925,2007-12-01
